X1	X2
Potra2n9c18898	GO:0004842,GO:0005515,GO:0016567,GO:0016874,GO:0019005,GO:0031146
Potra2n9c18908	GO:0003723
Potra2n9c18895	GO:0009821,GO:0019438,GO:0030786,GO:0032259,GO:0046983,GO:0050630,GO:0102719
Potra2n9c18912	GO:0016021
Potra2n9c18916	GO:0003743,GO:0005840,GO:0006446,GO:0032790,GO:0043022
Potra2n9c18909	GO:0005768,GO:0005802,GO:0016021
Potra2n9c18917	GO:0003677,GO:0003723,GO:0005634,GO:0006397,GO:0006511,GO:0008541,GO:0030234,GO:0042176,GO:0050790,GO:0071949
Potra2n9c18883	GO:0009733
Potra2n9c18896	GO:0008171,GO:0008757,GO:0019438,GO:0032259,GO:0046983
Potra2n9c18884	GO:0009733,GO:0016020
Potra2n9c18913	GO:0071249
Potra2n9c18910	GO:0005524,GO:0005634,GO:0005774,GO:0005794,GO:0005829,GO:0005886,GO:0006357,GO:0009506,GO:0009941,GO:0010255,GO:0016021,GO:0016787,GO:0033180,GO:0035556,GO:0045454,GO:0046034,GO:0046686,GO:0051015,GO:0051017,GO:0051693,GO:1902600
Potra2n9c18889	GO:0030145,GO:0045735
Potra2n9c18914	GO:0004724,GO:0005963,GO:0006470,GO:0046872
Potra2n9c18902	GO:0005887,GO:0055085
Potra2n9c18881	GO:0000049,GO:0002161,GO:0004813,GO:0005524,GO:0005739,GO:0005829,GO:0006400,GO:0006419,GO:0006522,GO:0006531,GO:0008270,GO:0009507,GO:0016597,GO:0106074
Potra2n9c18907	GO:0005634,GO:0005737,GO:0006606,GO:0008139,GO:0008536,GO:0061608
Potra2n9c18886	GO:0016021
Potra2n9c18880	GO:0005576,GO:0009506,GO:0019953
Potra2n9c18890	GO:0004675,GO:0005524,GO:0005886,GO:0006468,GO:0007178,GO:0009069
Potra2n9c18888	GO:0005515,GO:0009416,GO:0009507,GO:0045038,GO:0080085
Potra2n9c18918	GO:0005737,GO:0006888,GO:0030008
Potra2n9c18904	GO:0005515,GO:0005634,GO:0006479,GO:0006554,GO:0018024,GO:0043232
Potra2n9c18893	GO:0005515
Potra2n9c18869	GO:0006004,GO:0016021,GO:0016757
Potra2n9c18866	GO:0004499,GO:0050660,GO:0050661,GO:0055114
Potra2n9c18847	GO:0005506,GO:0016021,GO:0020037,GO:0055114,GO:0070330
Potra2n9c18848	GO:0005515,GO:0016787,GO:0090501
Potra2n9c18870	GO:0003824,GO:0071249
Potra2n9c18871	GO:0004674,GO:0005515,GO:0005524,GO:0005886,GO:0006468,GO:0009069,GO:0009742,GO:0050832
Potra2n9c18877	GO:0004568,GO:0005975,GO:0006032,GO:0008061,GO:0016998,GO:0050832
Potra2n9c18859	GO:0001574,GO:0001575,GO:0003836,GO:0005794,GO:0016021,GO:0016266,GO:0018146,GO:0097503
Potra2n9c18864	GO:0004497,GO:0005506,GO:0007275,GO:0010268,GO:0016125,GO:0016132,GO:0016705,GO:0020037,GO:0055114
Potra2n9c18858	GO:0003677,GO:0008270
Potra2n9c18853	GO:0005515
Potra2n9c18860	GO:0003677,GO:0003950,GO:0005730,GO:0006302,GO:0016021,GO:0016491,GO:0055114,GO:0070212,GO:1990404
Potra2n9c18879	GO:0005634,GO:0005829,GO:0009691,GO:0016799,GO:0016829
Potra2n9c18852	GO:0000070,GO:0000417,GO:0000775,GO:0000790,GO:0003677,GO:0003714,GO:0005515,GO:0005667,GO:0006336,GO:0016481,GO:0030702,GO:0031491,GO:0031935
Potra2n9c18861	GO:0016021
Potra2n9c18856	GO:0005515,GO:0005524,GO:0005634,GO:0007032,GO:0007033,GO:0007049,GO:0009506,GO:0015031,GO:0016192,GO:0016887,GO:0032585,GO:0055075,GO:0055078
Potra2n9c18865	GO:0009507,GO:0015297,GO:0016021,GO:0042908,GO:0042910,GO:0055085
Potra2n9c18863	GO:0003676,GO:0005634,GO:0010468
Potra2n9c18878	GO:0003677,GO:0005634,GO:0006355,GO:0010016
Potra2n9c18839	GO:0003735,GO:0005840,GO:0006414,GO:0042254
Potra2n9c18849	GO:0006725,GO:0044238,GO:0080019,GO:1901360
Potra2n9c18842	GO:0000160,GO:0005634,GO:0005737,GO:0009736,GO:0009927,GO:0016310,GO:0043424
Potra2n9c18851	GO:0006629,GO:0010345,GO:0035336,GO:0055114,GO:0080019,GO:0102965
Potra2n9c18840	GO:0016021
Potra2n9c18850	GO:0006629,GO:0010345,GO:0035336,GO:0055114,GO:0080019,GO:0102965
Potra2n9c18868	GO:0004366,GO:0016021,GO:0042967,GO:0046486,GO:0102420
Potra2n9c18867	GO:0006810,GO:0022857,GO:0031224
Potra2n9c18855	GO:0004252,GO:0006508
Potra2n9c18854	GO:0097159,GO:1901363
Potra2n9c18845	GO:0004252,GO:0006508
Potra2n9c18846	GO:0004252,GO:0006508
Potra2n9c18857	GO:0005515,GO:0005524,GO:0005634,GO:0005771,GO:0007032,GO:0007033,GO:0009506,GO:0016021,GO:0016192,GO:0016887,GO:0031902,GO:0055075,GO:0055078
Potra2n9c18923	GO:0003677,GO:0005634,GO:0046983,GO:0048657
Potra2n9c18946	GO:0003700,GO:0005634,GO:0005667,GO:0006355,GO:0030154,GO:0043565,GO:0044212,GO:0045449
Potra2n9c18949	GO:0003333,GO:0005886,GO:0015171,GO:0016021
Potra2n9c18920	GO:0003729,GO:0005515,GO:0005634,GO:0005773,GO:0006833,GO:0009506,GO:0009737,GO:0015250,GO:0016021,GO:0030001,GO:0046658,GO:0046872,GO:0055085
Potra2n9c18942	GO:0004565,GO:0005618,GO:0005773,GO:0006012,GO:0006027,GO:0006687,GO:0009341,GO:0030246,GO:0046486
Potra2n9c18964	GO:0003333,GO:0005886,GO:0009624,GO:0009734,GO:0010588,GO:0015171,GO:0015293,GO:0016021
Potra2n9c18959	GO:0016021
Potra2n9c18936	GO:0005634,GO:0016021,GO:0030001,GO:0046872
Potra2n9c18952	GO:0005488,GO:0008194,GO:0016758,GO:0043231
Potra2n9c18931	GO:0016021
Potra2n9c18944	GO:0005783,GO:0006869,GO:0008289,GO:0016021
Potra2n9c18945	GO:0005739,GO:0005774,GO:0006804,GO:0006869,GO:0008289,GO:0009506,GO:0009723,GO:0009941,GO:0016021,GO:0016688,GO:0019852,GO:0020037,GO:0034599,GO:0042542,GO:0042744,GO:0042803,GO:0046861,GO:0055114,GO:0090378,GO:0098869
Potra2n9c18960	GO:0008152,GO:0016787
Potra2n9c18934	GO:0005634,GO:0016021,GO:0030001,GO:0046872
Potra2n9c18921	GO:0003950
Potra2n9c18925	GO:0016021
Potra2n9c18933	GO:0004842,GO:0016567
Potra2n9c18955	GO:0003779,GO:0015629,GO:0016021,GO:0030042
Potra2n9c18943	GO:0004839,GO:0004842,GO:0005886,GO:0016746,GO:0031396,GO:0042023
Potra2n9c18956	GO:0001653,GO:0005634,GO:0005829,GO:0006974,GO:0007165,GO:0008540,GO:0009408,GO:0009555,GO:0009651,GO:0009733,GO:0009735,GO:0009737,GO:0009744,GO:0010029,GO:0010150,GO:0031593,GO:0043161,GO:0043248,GO:0048455,GO:0048528,GO:0048767,GO:0051788
Potra2n9c18926	GO:0016567,GO:0061631
Potra2n9c18951	GO:0004252,GO:0006508
Potra2n9c18950	GO:0005886
Potra2n9c18939	GO:0004675,GO:0005524,GO:0005886,GO:0006468,GO:0007178,GO:0009069
Potra2n9c18948	GO:0004298,GO:0005515,GO:0005634,GO:0005774,GO:0005819,GO:0009524,GO:0010499,GO:0019773,GO:0043161
Potra2n9c18929	GO:0005634,GO:0005737,GO:0016301,GO:0016310,GO:0016567,GO:0016874,GO:0031146,GO:0061630,GO:0097602
Potra2n9c18967	GO:0005515,GO:0005634,GO:0005737,GO:0007166,GO:0009860,GO:0030036,GO:0090404
